#TYPE AzureOperation
"ProviderNamespace","ProviderName","Operation","OperationName","ResourceName","Description","IsDataAction"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/configuration/read","Gets Service Configuration for the forest.","ADDomainService","Gets Service Configuration for the forest. Example- Forest Name, Functionla Level, Domain Naming master FSMO role, Schema master FSMO role etc.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/delete","Deletes a Service.","ADDomainService","Deletes a Service and it's servers along with Health data.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/dimensions/read","Gets the domains and sites details for the forest.","ADDomainService","Gets the domains and sites details for the forest. Example- health status, active alerts, resolved alerts, properties like Domain Functional Level, Forest, Infrastructure Master, PDC, RID master etc. ","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/features/userpreference/read","Gets the user preference setting.","ADDomainService","Gets the user preference setting for the forest. Example- MetricCounterName like ldapsuccessfulbinds, ntlmauthentications, kerberosauthentications, addsinsightsagentprivatebytes, ldapsearches. Settings for the UI Charts etc.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/forestsummary/read","Gets forest summary.","ADDomainService","Gets forest summary for the given forest like forest name, number of domains under this forest, number of sites and sites details etc.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/metricmetadata/read","Gets the list of supported metrics for a given service.","ADDomainService","Gets the list of supported metrics for a given service. For example Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFS service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomainService. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for ADSync service.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/metrics/groups/read","Gets information about different service metrics.","ADDomainService","Given a service, this API gets the metrics information.For example, this API can be used to get information related to: Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFederation service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomain Service. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for Sync Service.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/premiumcheck/read","Gets onboarded ADDomainServices for a premium tenant.","ADDomainService","This API gets the list of all onboarded ADDomainServices for a premium tenant.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/read","Gets Service details.","ADDomainService","Gets Service details for the specified service name.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/replicationdetails/read","Gets replication details.","ADDomainService","Gets replication details for all the servers for the specified service name.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/replicationstatus/read","Gets replication error status.","ADDomainService","Gets the number of domain controllers and their replication errors if any.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/replicationsummary/read","Gets domain controller replication summary.","ADDomainService","Gets complete domain controller list along with replication details for the given forest.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/servicemembers/action","Add a server.","ADDomainService","Add a server instance to the service.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/servicemembers/credentials/read","Gets the credentials for service authentication.","ADDomainService Server","During server registration of ADDomainService, this api is called to get the credentials for onboarding new servers.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/servicemembers/delete","Deletes a server.","ADDomainService","Deletes a server for a given service and tenant.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/write","Creates or Updates the ADDomainService.","ADDomainService","Creates or Updates the ADDomainService instance for the tenant.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/configuration/action","Updates Tenant Configuration.","","Updates Tenant Configuration.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/configuration/read","Reads Tenant Configuration.","Tenant Configuration","Reads the Tenant Configuration.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/configuration/write","Creates a new Tenant.","Tenant Configuration","Creates a Tenant Configuration.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/logs/contents/read","Gets the content of a log stored in blob.","Agent Logs","Gets the content of agent installation and registration logs stored in blob.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/logs/read","Gets agent logs.","Agent Logs","Gets agent installation and registration logs for the tenant.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/operations/read","Gets operations.","Operations","Gets list of operations supported by system.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/register/action","Registers the ADHybrid Health Service Resource Provider.","","Registers the ADHybrid Health Service Resource Provider and enables the creation of ADHybrid Health Service resource.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/reports/availabledeployments/read","Gets list of available regions for DevOps.","DevOps Reports","Gets list of available regions, used by DevOps to support customer incidents.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/reports/badpassword/read","Gets the list of bad password attempts.","DevOps Reports","Gets the list of bad password attempts for all the users in Active Directory Federation Service.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/reports/badpassworduseridipfrequency/read","Gets Blob SAS Uri for enqueued report job.","Technical Advisor Reports","Gets Blob SAS URI containing status and eventual result of newly enqueued report job for frequency of Bad Username/Password attempts per UserId per IPAddress per Day for a given Tenant.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/reports/consentedtodevopstenants/read","Gets the list of DevOps consented tenants.","DevOps Reports","Gets the list of DevOps consented tenants. Typically used for customer support.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/reports/isdevops/read","Gets a value indicating wheather the teannt is DevOps Consented or not.","DevOps Reports","Gets a value indicating wheather the teannt is DevOps Consented or not.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/reports/selectdevopstenant/read","Updates userid(objectid) for the selected dev ops tenant.","DevOps Reports","Updates userid(objectid) for the selected dev ops tenant.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/reports/selecteddeployment/read","Gets selected deployment.","DevOps Reports","Gets selected deployment for the given tenant.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/reports/tenantassigneddeployment/read","Gets tenant storage mapping.","DevOps Reports","Given a tenant id gets the tenant storage location.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/reports/updateselecteddeployment/read","Gets the browsing location for the users.","DevOps Reports","Gets the geo location from which data will be accessed.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/action","Updates a service.","","Updates a service instance in the tenant.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/alerts/read","Reads the service alerts.","Alert","Reads the alerts for a service.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/alerts/read","Reads the service alerts.","Alert","Reads the alerts for a service.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/checkservicefeatureavailibility/read","Gets if a feature is enabled for a service.","Service Member","Given a feature name verifies if a service has everything required to use that feature.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/delete","Deletes service.","Service","Deletes a service instance in the tenant.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/exporterrors/read","Gets the export errors for a given sync service.","Service Member","Gets the export errors for a given sync service.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/exportstatus/read","Gets the export status for a given service.","Service Member","Gets the export status for a given service.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/feedbacktype/feedback/read","Gets alerts feedback.","Service","Gets alerts feedback for a given service and server.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/ipAddressAggregates/read","Reads ipAddressAggregates.","Service","Reads the bad IPs which attempted to access the service.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/ipAddressAggregateSettings/read","Reads ipAddressAggregateSettings.","Service","Reads alarm thresholds for bad IPs.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/ipAddressAggregateSettings/write","Writes ipAddressAggregateSettings.","Service","Writes alarm thresholds for bad IPs.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/metricmetadata/read","Gets the list of supported metrics for a given service.","Service","Gets the list of supported metrics for a given service. For example Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFS service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomainService. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for ADSync service.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/metrics/groups/average/read","Gets average view for metrics and performance data.","Service","Given a service, this API gets the average for metrics for a given service.For example, this API can be used to get information related to: Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFederation service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomain Service. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for Sync Service.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/metrics/groups/read","Gets information about different service metrics.","Service","Given a service, this API gets the metrics information.For example, this API can be used to get information related to: Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFederation service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomain Service. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for Sync Service.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/metrics/groups/sum/read","Gets aggregated view for metrics and performance data.","Service","Given a service, this API gets the aggregated view for metrics for a given service.For example, this API can be used to get information related to: Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFederation service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomain Service. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for Sync Service.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/monitoringconfiguration/write","Add or updates monitoring configuration for a service.","Service","Add or updates monitoring configuration for a service.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/monitoringconfigurations/read","Gets monitoring configurations for a service","Service","Gets the monitoring configurations for a given service.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/monitoringconfigurations/write","Add or updates monitoring configurations for a service.","Service","Add or updates monitoring configurations for a service.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/premiumcheck/read","Gets onboarded services for premium tenants.","Service","This API gets the list of all onboarded services for a premium tenant.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/read","Reads services.","Service","Reads the service instances in the tenant.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/reports/blobUris/read","Gets all Risky IP report URIs.","Service","Gets all Risky IP report URIs for the last 7 days.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/reports/details/read","Gets report for bad password.","Service","Gets report of top 50 users with bad password errors from last 7 days","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/reports/generateBlobUri/action","Initiate generation of new risky IP report.","Service","Generates Risky IP report and returns a URI pointing to it.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/servicemembers/action","Creates a server.","Service","Creates or updates a server instance in the service.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/servicemembers/alerts/read","Reads the server alerts.","Alert","Reads the alerts for a server.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/servicemembers/credentials/read","Gets the credentials for service authentication.","Service Member","During server registration, this api is called to get the credentials for onboarding new servers.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/servicemembers/datafreshness/read","Gets the data freshness status.","Service Member","For a given server, this API gets a list of  datatypes that are being uploaded by the servers and the latest time for each upload.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/servicemembers/delete","Deletes server.","Service Member","Deletes a server instance in the service.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/services/servicemembers/exportstatus/read","Gets the Sync Export Error details.","Service Member","Gets the Sync Export Error details for a given Sync Service.","False"
