#TYPE AzureOperations
"ProviderNamespace","Operation","OperationName","ResourceName","IsDataAction","Description"
"Azure Active Directory","microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnections/read","PrivateEndpointConnections read",,"False","Read PrivateEndpointConnections"
"Azure Active Directory","microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnections/write","PrivateEndpointConnections read",,"False","Create and Update PrivateEndpointConnections"
"Azure Active Directory","microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnections/delete","PrivateEndpointConnections read",,"False","Delete PrivateEndpointConnections"
"Azure Active Directory","microsoft.aadiam/privateLinkForAzureAD/privateLinkResources/read","PrivateLinkResources read",,"False","Read PrivateLinkResources"
"Azure Active Directory","microsoft.aadiam/privateLinkForAzureAD/privateLinkResources/write","PrivateLinkResources read",,"False","Create and Update PrivateLinkResources"
"Azure Active Directory","microsoft.aadiam/privateLinkForAzureAD/privateLinkResources/delete","PrivateLinkResources read",,"False","Delete PrivateLinkResources"
"Azure Active Directory","microsoft.aadiam/azureADMetrics/read","Azure AD Metrics Definition read",,"False","Read Azure AD Metrics Definition"
"Azure Active Directory","microsoft.aadiam/azureADMetrics/write","Azure AD Metrics Definition write",,"False","Create and Update Azure AD Metrics Definition"
"Azure Active Directory","microsoft.aadiam/azureADMetrics/delete","Azure AD Metrics Definition delete",,"False","Delete Azure AD Metrics Definition"
"Microsoft Addons","Microsoft.Addons/register/action","Register for Microsoft.Addons",,"False","Register the specified subscription with Microsoft.Addons"
"Microsoft Addons","Microsoft.Addons/supportProviders/supportPlanTypes/read","Get Canonical support plan state",,"False","Get the specified Canonical support plan state."
"Microsoft Addons","Microsoft.Addons/supportProviders/supportPlanTypes/write","Adds a Canonical support plan.",,"False","Adds the Canonical support plan type specified."
"Microsoft Addons","Microsoft.Addons/supportProviders/supportPlanTypes/delete","Removes the Canonical support plan",,"False","Removes the specified Canonical support plan"
"Microsoft Addons","Microsoft.Addons/operations/read","Get RP operations.",,"False","Gets supported RP operations."
"Microsoft Addons","Microsoft.Addons/supportProviders/listsupportplaninfo/action","List support plan information.",,"False","Lists current support plan information for the specified subscription."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/configuration/action","Updates Tenant Configuration.",,"False","Updates Tenant Configuration."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/action","Updates a service.",,"False","Updates a service instance in the tenant."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/action","Create a new forest.",,"False","Create a new forest for the tenant."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/register/action","Registers the ADHybrid Health Service Resource Provider.",,"False","Registers the ADHybrid Health Service Resource Provider and enables the creation of ADHybrid Health Service resource."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/unregister/action","Unregisters the ADHybrid Health Service Resource Provider.",,"False","Unregisters the subscription for ADHybrid Health Service Resource Provider."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/configuration/write","Creates a new Tenant.",,"False","Creates a Tenant Configuration."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/configuration/read","Reads Tenant Configuration.",,"False","Reads the Tenant Configuration."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/write","Creates a service.",,"False","Creates a service instance in the tenant."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/read","Reads services.",,"False","Reads the service instances in the tenant."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/delete","Deletes service.",,"False","Deletes a service instance in the tenant."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/servicemembers/action","Creates a server.",,"False","Creates or updates a server instance in the service."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/servicemembers/read","Reads a server.",,"False","Reads the server instance in the service."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/servicemembers/delete","Deletes server.",,"False","Deletes a server instance in the service."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/servicemembers/alerts/read","Reads the server alerts.",,"False","Reads the alerts for a server."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/alerts/read","Reads the service alerts.",,"False","Reads the alerts for a service."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/alerts/read","Reads the service alerts.",,"False","Reads the alerts for a service."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/tenantwhitelisting/read","Gets feature whitelisting status.",,"False","Gets feature whitelisting status for a given tenant."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/servicemembers/serviceconfiguration/read","Gets service configuration.",,"False","Gets service configuration for a given tenant."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/servicemembers/metrics/groups/read","Gets information about different service metrics.",,"False","Given a service, this API gets the metrics information.For example, this API can be used to get information related to: Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFederation service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomain Service. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for Sync Service."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/servicemembers/exportstatus/read","Gets the Sync Export Error details.",,"False","Gets the Sync Export Error details for a given Sync Service."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/servicemembers/datafreshness/read","Gets the data freshness status.",,"False","For a given server, this API gets a list of  datatypes that are being uploaded by the servers and the latest time for each upload."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/servicemembers/credentials/read","Gets the credentials for service authentication.",,"False","During server registration, this api is called to get the credentials for onboarding new servers."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/reports/details/read","Gets report for bad password.",,"False","Gets report of top 50 users with bad password errors from last 7 days"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/premiumcheck/read","Gets onboarded services for premium tenants.",,"False","This API gets the list of all onboarded services for a premium tenant."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/monitoringconfigurations/read","Gets monitoring configurations for a service",,"False","Gets the monitoring configurations for a given service."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/monitoringconfigurations/write","Add or updates monitoring configurations for a service.",,"False","Add or updates monitoring configurations for a service."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/monitoringconfiguration/write","Add or updates monitoring configuration for a service.",,"False","Add or updates monitoring configuration for a service."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/metrics/groups/sum/read","Gets aggregated view for metrics and performance data.",,"False","Given a service, this API gets the aggregated view for metrics for a given service.For example, this API can be used to get information related to: Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFederation service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomain Service. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for Sync Service."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/metrics/groups/read","Gets information about different service metrics.",,"False","Given a service, this API gets the metrics information.For example, this API can be used to get information related to: Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFederation service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomain Service. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for Sync Service."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/metrics/groups/average/read","Gets average view for metrics and performance data.",,"False","Given a service, this API gets the average for metrics for a given service.For example, this API can be used to get information related to: Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFederation service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomain Service. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for Sync Service."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/metricmetadata/read","Gets the list of supported metrics for a given service.",,"False","Gets the list of supported metrics for a given service. For example Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFS service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomainService. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for ADSync service."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/exportstatus/read","Gets the export status for a given service.",,"False","Gets the export status for a given service."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/exporterrors/read","Gets the export errors for a given sync service.",,"False","Gets the export errors for a given sync service."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/checkservicefeatureavailibility/read","Gets if a feature is enabled for a service.",,"False","Given a feature name verifies if a service has everything required to use that feature."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/reports/updateselecteddeployment/read","Gets the browsing location for the users.",,"False","Gets the geo location from which data will be accessed."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/reports/tenantassigneddeployment/read","Gets tenant storage mapping.",,"False","Given a tenant id gets the tenant storage location."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/reports/selecteddeployment/read","Gets selected deployment.",,"False","Gets selected deployment for the given tenant."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/reports/selectdevopstenant/read","Updates userid(objectid) for the selected dev ops tenant.",,"False","Updates userid(objectid) for the selected dev ops tenant."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/reports/isdevops/read","Gets a value indicating wheather the teannt is DevOps Consented or not.",,"False","Gets a value indicating wheather the teannt is DevOps Consented or not."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/reports/consentedtodevopstenants/read","Gets the list of DevOps consented tenants.",,"False","Gets the list of DevOps consented tenants. Typically used for customer support."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/reports/badpassworduseridipfrequency/read","Gets Blob SAS Uri for enqueued report job.",,"False","Gets Blob SAS URI containing status and eventual result of newly enqueued report job for frequency of Bad Username/Password attempts per UserId per IPAddress per Day for a given Tenant."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/reports/availabledeployments/read","Gets list of available regions for DevOps.",,"False","Gets list of available regions, used by DevOps to support customer incidents."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/reports/badpassword/read","Gets the list of bad password attempts.",,"False","Gets the list of bad password attempts for all the users in Active Directory Federation Service."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/logs/read","Gets agent logs.",,"False","Gets agent installation and registration logs for the tenant."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/logs/contents/read","Gets the content of a log stored in blob.",,"False","Gets the content of agent installation and registration logs stored in blob."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/write","Creates or Updates the ADDomainService.",,"False","Creates or Updates the ADDomainService instance for the tenant."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/servicemembers/action","Add a server.",,"False","Add a server instance to the service."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/read","Gets Service details.",,"False","Gets Service details for the specified service name."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/delete","Deletes a Service.",,"False","Deletes a Service and it's servers along with Health data."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/servicemembers/credentials/read","Gets the credentials for service authentication.",,"False","During server registration of ADDomainService, this api is called to get the credentials for onboarding new servers."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/servicemembers/delete","Deletes a server.",,"False","Deletes a server for a given service and tenant."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/replicationsummary/read","Gets domain controller replication summary.",,"False","Gets complete domain controller list along with replication details for the given forest."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/replicationstatus/read","Gets replication error status.",,"False","Gets the number of domain controllers and their replication errors if any."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/premiumcheck/read","Gets onboarded ADDomainServices for a premium tenant.",,"False","This API gets the list of all onboarded ADDomainServices for a premium tenant."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/metrics/groups/read","Gets information about different service metrics.",,"False","Given a service, this API gets the metrics information.For example, this API can be used to get information related to: Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFederation service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomain Service. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for Sync Service."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/metricmetadata/read","Gets the list of supported metrics for a given service.",,"False","Gets the list of supported metrics for a given service. For example Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFS service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomainService. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for ADSync service."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/forestsummary/read","Gets forest summary.",,"False","Gets forest summary for the given forest like forest name, number of domains under this forest, number of sites and sites details etc."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/features/userpreference/read","Gets the user preference setting.",,"False","Gets the user preference setting for the forest. Example- MetricCounterName like ldapsuccessfulbinds, ntlmauthentications, kerberosauthentications, addsinsightsagentprivatebytes, ldapsearches. Settings for the UI Charts etc."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/dimensions/read","Gets the domains and sites details for the forest.",,"False","Gets the domains and sites details for the forest. Example- health status, active alerts, resolved alerts, properties like Domain Functional Level, Forest, Infrastructure Master, PDC, RID master etc. "
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/configuration/read","Gets Service Configuration for the forest.",,"False","Gets Service Configuration for the forest. Example- Forest Name, Functionla Level, Domain Naming master FSMO role, Schema master FSMO role etc."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/alerts/read","Gets alerts for the forest.",,"False","Gets alerts details for the forest like alertid, alert raised date, alert last detected, alert description, last updated, alert level, alert state, alert troubleshooting links etc. ."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/feedbacktype/feedback/read","Gets alerts feedback.",,"False","Gets alerts feedback for a given service and server."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/addomainservicemembers/read","Gets all servers.",,"False","Gets all servers for the specified service name."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/replicationdetails/read","Gets replication details.",,"False","Gets replication details for all the servers for the specified service name."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/operations/read","Gets operations.",,"False","Gets list of operations supported by system."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/servicemembers/metrics/read","Gets the list of connectors and run profile names.",,"False","Gets the list of connectors and run profile names for the given service and service member."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/reports/blobUris/read","Gets all Risky IP report URIs.",,"False","Gets all Risky IP report URIs for the last 7 days."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/reports/generateBlobUri/action","Initiate generation of new risky IP report.",,"False","Generates Risky IP report and returns a URI pointing to it."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/ipAddressAggregateSettings/read","Reads ipAddressAggregateSettings.",,"False","Reads alarm thresholds for bad IPs."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/ipAddressAggregateSettings/write","Writes ipAddressAggregateSettings.",,"False","Writes alarm thresholds for bad IPs."
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService/services/ipAddressAggregates/read","Reads ipAddressAggregates.",,"False","Reads the bad IPs which attempted to access the service."
"Microsoft.AlertsManagement","Microsoft.AlertsManagement/register/action","Subscription Registration Action",,"False","Subscription Registration Action"
"Microsoft.AlertsManagement","Microsoft.AlertsManagement/register/action","Register subscription",,"False","Registers the subscription for the Microsoft Alerts Management"
"Microsoft.AlertsManagement","Microsoft.AlertsManagement/alerts/read","Read alerts",,"False","Get all the alerts for the input filters."
"Microsoft.AlertsManagement","Microsoft.AlertsManagement/alerts/changestate/action","Resolve alerts",,"False","Change the state of the alert."
"Microsoft.AlertsManagement","Microsoft.AlertsManagement/alertsSummary/read","Read alerts summary",,"False","Get the summary of alerts"
"Microsoft.AlertsManagement","Microsoft.AlertsManagement/smartGroups/read","Read smart groups",,"False","Get all the smart groups for the input filters"
"Microsoft.AlertsManagement","Microsoft.AlertsManagement/smartGroups/changestate/action","Read smart groups",,"False","Change the state of the smart group"
"Microsoft.AlertsManagement","Microsoft.AlertsManagement/Operations/read","Read operations",,"False","Reads the operations provided"
"Microsoft.AlertsManagement","Microsoft.AlertsManagement/actionRules/read","Read action rules",,"False","Get all the action rules for the input filters."
"Microsoft.AlertsManagement","Microsoft.AlertsManagement/actionRules/write","Write action rule",,"False","Create or update action rule in a given subscription"
"Microsoft.AlertsManagement","Microsoft.AlertsManagement/actionRules/delete","Delete action rule",,"False","Delete action rule in a given subscription."
"Microsoft.AlertsManagement","Microsoft.AlertsManagement/alertsList/read","Read alerts",,"False","Get all the alerts for the input filters across subscriptions"
"Microsoft.AlertsManagement","Microsoft.AlertsManagement/alertsSummaryList/read","Read alerts summary",,"False","Get the summary of alerts across subscriptions"
"Microsoft.AlertsManagement","Microsoft.AlertsManagement/alerts/history/read","Read alert history",,"False","Get history of the alert"
"Microsoft.AlertsManagement","Microsoft.AlertsManagement/smartGroups/history/read","Read smart group history",,"False","Get history of the smart group"
"Microsoft.AlertsManagement","Microsoft.AlertsManagement/smartDetectorAlertRules/write","Create Smart Detector alert rule",,"False","Create or update Smart Detector alert rule in a given subscription"
"Microsoft.AlertsManagement","Microsoft.AlertsManagement/smartDetectorAlertRules/read","Read Smart Detector alert rules",,"False","Get all the Smart Detector alert rules for the input filters"
"Microsoft.AlertsManagement","Microsoft.AlertsManagement/smartDetectorAlertRules/delete","Delete Smart Detector alert rule",,"False","Delete Smart Detector alert rule in a given subscription"
"Microsoft.AlertsManagement","Microsoft.AlertsManagement/alertsMetaData/read","Read alerts meta data",,"False","Get alerts meta data for the input parameter."
"Microsoft.AlertsManagement","Microsoft.AlertsManagement/resourceHealthAlertRules/write","Create Resource Health alert rule",,"False","Create or update Resource Health alert rule in a given subscription"
"Microsoft.AlertsManagement","Microsoft.AlertsManagement/resourceHealthAlertRules/read","Read Resource Health alert rules",,"False","Get all the Resource Health alert rules for the input filters"
"Microsoft.AlertsManagement","Microsoft.AlertsManagement/resourceHealthAlertRules/delete","Delete Resource Health alert rule",,"False","Delete Resource Health alert rule in a given subscription"
"Microsoft Analysis Services","Microsoft.AnalysisServices/register/action","Register Analysis Services provider",,"False","Registers Analysis Services resource provider."
"Microsoft Analysis Services","Microsoft.AnalysisServices/servers/read","Read Analysis Server",,"False","Retrieves the information of the specified Analysis Server."
"Microsoft Analysis Services","Microsoft.AnalysisServices/servers/write","Create/Update Analysis Server",,"False","Creates or updates the specified Analysis Server."
"Microsoft Analysis Services","Microsoft.AnalysisServices/servers/delete","Delete the Analysis Server",,"False","Deletes the Analysis Server."
"Microsoft Analysis Services","Microsoft.AnalysisServices/servers/suspend/action","Suspend the Analysis Server.",,"False","Suspends the Analysis Server."
"Microsoft Analysis Services","Microsoft.AnalysisServices/servers/resume/action","Resume the Analysis Server.",,"False","Resumes the Analysis Server."
"Microsoft Analysis Services","Microsoft.AnalysisServices/servers/listGatewayStatus/action","List the status of the gateway associated with the server",,"False","List the status of the gateway associated with the server."
"Microsoft Analysis Services","Microsoft.AnalysisServices/locations/checkNameAvailability/action","Check availability of the Analysis Server name",,"False","Checks that given Analysis Server name is valid and not in use."
"Microsoft Analysis Services","Microsoft.AnalysisServices/locations/operationresults/read","Read operation results",,"False","Retrieves the information of the specified operation result."
"Microsoft Analysis Services","Microsoft.AnalysisServices/locations/operationstatuses/read","Read operation statuses",,"False","Retrieves the information of the specified operation status."
"Microsoft Analysis Services","Microsoft.AnalysisServices/operations/read","Read operations",,"False","Retrieves the information of operations"
"Microsoft Analysis Services","Microsoft.AnalysisServices/skus/read","Read SKU information",,"False","Retrieves the information of Skus"
"Microsoft Analysis Services","Microsoft.AnalysisServices/servers/skus/read","Read available SKU information for the server",,"False","Retrieve available SKU information for the server"
"Microsoft API Management","Microsoft.ApiManagement/register/action","Register Microsoft.ApiManagement resource provider",,"False","Register subscription for Microsoft.ApiManagement resource provider"
"Microsoft API Management","Microsoft.ApiManagement/unregister/action","Un-register Microsoft.ApiManagement resource provider",,"False","Un-register subscription for Microsoft.ApiManagement resource provider"
"Microsoft API Management","Microsoft.ApiManagement/service/write","Create or Update API Management Service instance",,"False","Create or Update API Management Service instance"
"Microsoft API Management","Microsoft.ApiManagement/service/read","Read metadata for an API Management Service instance",,"False","Read metadata for an API Management Service instance"
"Microsoft API Management","Microsoft.ApiManagement/service/delete","Delete API Management Service instance",,"False","Delete API Management Service instance"
"Microsoft API Management","Microsoft.ApiManagement/service/updatehostname/action","Update domain names",,"False","Setup, update or remove custom domain names for an API Management Service"
"Microsoft API Management","Microsoft.ApiManagement/service/updatecertificate/action","Upload SSL certificate",,"False","Upload SSL certificate for an API Management Service"
"Microsoft API Management","Microsoft.ApiManagement/service/backup/action","Backup API Management Service",,"False","Backup API Management Service to the specified container in a user provided storage account"
"Microsoft API Management","Microsoft.ApiManagement/service/restore/action","Restore API Management Service",,"False","Restore API Management Service from the specified container in a user provided storage account"
"Microsoft API Management","Microsoft.ApiManagement/service/managedeployments/action","Manage Service Deployments",,"False","Change SKU/units, add/remove regional deployments of API Management Service"
"Microsoft API Management","Microsoft.ApiManagement/service/getssotoken/action","Get SSO token",,"False","Gets SSO token that can be used to login into API Management Service Legacy portal as an administrator"
"Microsoft API Management","Microsoft.ApiManagement/service/applynetworkconfigurationupdates/action","Apply Network Configuration Updates",,"False","Updates the Microsoft.ApiManagement resources running in Virtual Network to pick updated Network Settings."
"Microsoft API Management","Microsoft.ApiManagement/service/users/action","Register new user",,"False","Register a new user"
"Microsoft API Management","Microsoft.ApiManagement/service/notifications/action","Send notification",,"False","Sends notification to a specified user"
"Microsoft API Management","Microsoft.ApiManagement/service/gateways/action","Get gateway keys or Update gateway hearbeat",,"False","Retrieves gateway configuration. or Updates gateway heartbeat."
"Microsoft API Management","Microsoft.ApiManagement/service/operationresults/read","Get long running operation result",,"False","Gets current status of long running operation"
"Microsoft API Management","Microsoft.ApiManagement/operations/read","Read all API operations available for API Management",,"False","Read all API operations available for Microsoft.ApiManagement resource"
"Microsoft API Management","Microsoft.ApiManagement/checkNameAvailability/read","Check Name Availability",,"False","Checks if provided service name is available"
